"","Company.Names","Cars.Names","Engines","CC.Battery.Capacity","HorsePower","Total.Speed","Performance.0...100..KM.H","Cars.Prices","Fuel.Types","Seats","Torque","BodyType","MPG","FuelTank"
"362","Porsche","911 Turbo Cabriolet","3.8L Twin-Turbo Flat-6","3745 cc","572 hp","320 km/h","2.9 sec","$184,100 ","Petrol","4","750 Nm","Convertible","17","17.6"
"363","Porsche","911 Turbo S Coupe","3.8L Twin-Turbo Flat-6","3745 cc","640 hp","330 km/h","2.7 sec","$207,000 ","Petrol","4","800 Nm","Coupe","17","17.6"
"364","Porsche","911 GT3 Touring","4.0L Naturally Aspirated Flat-6","3996 cc","502 hp","318 km/h","3.9 sec","$170,000 ","Petrol","2","470 Nm","Coupe","16","17.6"
"365","Porsche","911 GT3 RS Clubsport","4.0L Naturally Aspirated Flat-6","3996 cc","525 hp","296 km/h","3.2 sec","$223,800 ","Petrol","2","465 Nm","Coupe","15","17.6"
"366","Porsche","911 Dakar Limited Edition","3.0L Twin-Turbo Flat-6","2981 cc","473 hp","240 km/h","3.4 sec","$222,000 ","Petrol","4","570 Nm","Coupe","17","17.6"
"367","Porsche","911 Carrera GTS Lightweight","3.0L Twin-Turbo Flat-6","2981 cc","473 hp","311 km/h","3.2 sec","$145,300 ","Petrol","4","570 Nm","Coupe","20","16.9"
"368","Porsche","911 Targa 4 Lightweight","3.0L Twin-Turbo Flat-6","2981 cc","379 hp","289 km/h","4.3 sec","$135,500 ","Petrol","4","450 Nm","Convertible","20","16.9"
"369","Porsche","911 Turbo Exclusive Series","3.8L Twin-Turbo Flat-6","3745 cc","607 hp","330 km/h","2.9 sec","$258,000 ","Petrol","4","750 Nm","Coupe","17","17.6"
"370","Porsche","911 GT2 RS","3.8L Twin-Turbo Flat-6","3745 cc","700 hp","340 km/h","2.8 sec","$293,200 ","Petrol","2","750 Nm","Coupe","15","17.6"
"371","Porsche","911 GT3 Cup","4.0L Naturally Aspirated Flat-6","3996 cc","510 hp","290 km/h","3.4 sec","$245,000 ","Petrol","1","470 Nm","Coupe","12","17.6"
"372","Porsche","911 GT4 RS","4.0L Naturally Aspirated Flat-6","3996 cc","500 hp","315 km/h","3.4 sec","$222,000 ","Petrol","2","450 Nm","Coupe","17","16.9"
"373","Porsche","911 RSR (Motorsport Edition)","4.2L Naturally Aspirated Flat-6","4194 cc","515 hp","296 km/h","3.1 sec","$750,000 ","Petrol","1","480 Nm","Coupe","10","17.6"
"374","Porsche","911 Sport Turismo","3.0L Twin-Turbo Flat-6","2981 cc","379 hp","293 km/h","4.4 sec","$116,000 ","Petrol","4","450 Nm","Wagon","21","16.9"
"375","Porsche","911 Turbo Cabriolet Lightweight","3.8L Twin-Turbo Flat-6","3745 cc","572 hp","318 km/h","3.0 sec","$191,300 ","Petrol","4","750 Nm","Convertible","17","17.6"
"376","Porsche","911 Dakar Sport","3.0L Twin-Turbo Flat-6","2981 cc","473 hp","240 km/h","3.5 sec","$233,000 ","Petrol","4","570 Nm","Coupe","17","17.6"
"377","Tesla","Model S","Dual Electric Motors","100 kWh","670 hp","250 km/h","3.1 sec","$88,490 ","Electric","5","967 Nm","Sedan","0","0"
"378","Tesla","Model S Plaid","Tri Electric Motors","100 kWh","1,020 hp","322 km/h","2.1 sec","$108,490 ","Electric","5","1,400 Nm","Sedan","0","0"
"379","Tesla","Model 3","Single Electric Motor (RWD)","60 kWh","283 hp","225 km/h","5.8 sec","$40,240 ","Electric","5","420 Nm","Sedan","0","0"
